idCli,nombre,apellido,dire,tel,saldo,fechaIng,obs,activo,autoId
39,Imogen,Doud,34014 Lakeland Plaza,(755) 1537202,0,2022-10-26 11:09:59,Phasellus sit amet erat.,0,39
40,Correy,Leggon,1 Debs Road,(390) 5314861,0,2023-03-12 13:16:33,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",0,40
41,Rene,Dablin,8368 Hansons Street,(613) 8005061,0,2022-12-29 04:30:18,Aenean fermentum.,1,41
42,Nonna,Gleed,9973 Little Fleur Way,(870) 8964577,0,2023-01-14 23:41:38,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",1,42
43,Chick,Boniface,0 Roth Circle,(888) 3583448,0,2022-09-06 14:39:28,Suspendisse potenti.,1,43
44,Larissa,Shelley,10270 Fulton Terrace,(703) 2261139,0,2022-12-19 21:06:06,Nam nulla.,0,44
45,Adelind,Bodiam,477 Becker Junction,(718) 2692075,0,2023-02-08 22:12:58,Ut at dolor quis odio consequat varius. Integer ac leo.,1,45
46,Mart,Shay,857 Bellgrove Circle,(774) 2728025,0,2022-09-25 07:39:44,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",1,46
47,Nelson,Camoletto,537 Bayside Terrace,(722) 3900326,0,2022-10-26 01:49:39,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,0,47
48,Zsa zsa,Peirson,69 Forest Run Drive,(682) 9652569,0,2022-10-13 20:28:14,Aenean fermentum. Donec ut mauris eget massa tempor convallis.,1,48
49,Zaneta,Lerohan,8 Daystar Point,(373) 4712797,0,2023-01-13 15:19:55,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,0,49
50,Letti,Venables,67763 Fair Oaks Avenue,(510) 6379782,0,2022-09-20 23:58:18,In hac habitasse platea dictumst.,0,50
51,Hermann,Cuffin,30 Maryland Lane,(148) 4291124,0,2023-05-28 13:27:31,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.,0,51
52,Torin,Guildford,23641 Blue Bill Park Terrace,(753) 3913232,0,2023-04-22 10:58:05,Proin at turpis a pede posuere nonummy.,1,52
53,Cecelia,Croker,60553 Chinook Alley,(264) 4727972,0,2022-11-22 13:47:08,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",0,53
54,Cristine,Atmore,124 Oxford Hill,(104) 4982371,0,2023-06-16 00:02:40,Suspendisse accumsan tortor quis turpis.,1,54
55,Tabbi,Dewis,175 Kinsman Point,(137) 4270130,0,2022-07-15 16:05:21,Donec dapibus. Duis at velit eu est congue elementum.,1,55
56,Bradney,Muldoon,9 Gale Place,(957) 3777282,0,2023-01-29 14:12:11,Pellentesque at nulla. Suspendisse potenti.,1,56
57,Elfreda,Exell,04 Porter Parkway,(667) 8857129,0,2023-06-08 15:17:03,Donec vitae nisi.,0,57
58,Regina,Spataro,5291 Buhler Crossing,(982) 9891232,0,2023-01-13 00:42:30,Proin at turpis a pede posuere nonummy.,1,58
59,Cami,Casiroli,15 Grover Hill,(355) 3739001,0,2023-01-03 18:28:22,Etiam pretium iaculis justo. In hac habitasse platea dictumst.,1,59
60,Raffaello,Gotmann,64808 Pennsylvania Trail,(921) 1686965,0,2023-05-08 06:25:09,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",1,60
61,Cheryl,Castellaccio,8856 Pond Hill,(307) 2422294,0,2023-02-18 18:16:40,Etiam pretium iaculis justo.,0,61
62,Tonye,Stephenson,21231 Sunfield Trail,(649) 6813272,0,2022-07-22 16:35:34,Aliquam sit amet diam in magna bibendum imperdiet.,0,62
63,Ernestine,Duiged,2 Butterfield Plaza,(262) 4020367,0,2022-09-14 08:09:42,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,1,63
64,Bria,Goad,31 Cottonwood Park,(987) 9549233,0,2022-11-01 10:17:07,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",0,64
65,Wendie,Gindghill,32 Monterey Drive,(945) 3511607,0,2022-11-08 06:22:21,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",1,65
66,Gaspar,Pyle,5 Randy Hill,(810) 2432297,0,2022-10-09 07:01:27,Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,0,66
67,Waite,Moseby,15 Springs Plaza,(843) 8562019,0,2023-02-10 14:27:33,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",1,67
68,Vanessa,Banstead,6035 Karstens Road,(604) 9687874,0,2022-10-29 16:17:41,Morbi non quam nec dui luctus rutrum.,1,68
69,Hewie,Dye,5973 Maryland Junction,(394) 1852080,0,2022-08-25 09:14:44,Maecenas pulvinar lobortis est.,0,69
70,Cristobal,Ilbert,64776 Hudson Trail,(868) 2045346,0,2023-04-18 16:16:49,Nullam molestie nibh in lectus. Pellentesque at nulla.,1,70
71,Alexandre,Pechell,81 Lighthouse Bay Hill,(924) 6976700,0,2022-11-11 11:50:58,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",0,71
72,Shauna,Falks,83338 Hazelcrest Pass,(615) 5188924,0,2023-06-24 11:18:10,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",0,72
73,Cristionna,Abilowitz,5768 Grayhawk Trail,(697) 9702757,0,2023-02-11 22:31:15,Ut at dolor quis odio consequat varius.,0,73
74,Beck,Sellek,2 Novick Point,(501) 6224043,0,2022-12-22 10:27:18,In quis justo.,0,74
75,Jeralee,Rowatt,73451 Cardinal Avenue,(971) 2728402,0,2022-07-12 22:00:33,Maecenas pulvinar lobortis est. Phasellus sit amet erat.,0,75
76,Tonya,Franklen,06 School Park,(764) 2377602,0,2023-04-22 13:14:44,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,1,76
77,Nobe,Roblin,40738 Northport Avenue,(689) 9419062,0,2022-11-22 14:58:56,Etiam vel augue.,0,77
78,Tristan,Sheber,2388 Victoria Way,(756) 3164857,0,2023-04-30 17:17:18,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",1,78
79,Art,Ellsbury,06805 Summer Ridge Avenue,(449) 2954863,0,2023-05-20 22:16:49,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",0,79
80,Clemmy,Scala,84 Sage Terrace,(965) 6033408,0,2022-09-03 14:19:58,Pellentesque at nulla.,1,80
81,Faustine,Fonzone,2229 Morrow Way,(992) 6000454,0,2023-06-09 06:20:24,Suspendisse potenti. Cras in purus eu magna vulputate luctus.,0,81
82,Saloma,Kippax,0 Lerdahl Alley,(369) 2810157,0,2023-05-21 15:07:34,Nulla facilisi.,0,82
83,Berna,Armor,675 Manitowish Park,(431) 6776546,0,2022-09-22 11:39:22,Nullam sit amet turpis elementum ligula vehicula consequat.,1,83
84,Moreen,Chessil,97 Eliot Crossing,(955) 4180852,0,2022-10-02 18:30:03,Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,1,84
85,Alfie,Edmonson,87 Clemons Park,(226) 3521453,0,2022-08-26 18:20:13,Fusce consequat. Nulla nisl.,0,85
86,Venita,MacCoughen,413 Iowa Plaza,(565) 4661276,0,2023-01-06 10:10:25,Pellentesque ultrices mattis odio.,1,86
87,Blake,Serot,7115 Sunnyside Alley,(938) 6148644,0,2023-03-06 12:48:45,Nulla tellus. In sagittis dui vel nisl.,0,87
88,Kori,Gionettitti,85616 Calypso Center,(648) 3756525,0,2023-04-19 09:26:46,Proin at turpis a pede posuere nonummy. Integer non velit.,0,88
89,Joscelin,Toopin,63659 Buena Vista Parkway,(448) 9844080,0,2022-10-27 13:38:49,Nullam molestie nibh in lectus.,0,89
90,Rosetta,Spottswood,33296 Butternut Way,(600) 2976379,0,2023-06-14 22:58:09,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",1,90
91,Stephannie,Phant,1 Katie Lane,(870) 4445649,0,2022-09-14 09:37:56,Pellentesque at nulla. Suspendisse potenti.,0,91
92,Andra,Raggitt,7 Arizona Court,(661) 9343734,0,2023-03-11 15:57:53,Duis bibendum. Morbi non quam nec dui luctus rutrum.,0,92
93,Emily,Colter,544 Onsgard Plaza,(227) 4041683,0,2023-04-07 01:28:46,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",0,93
94,Stuart,Maith,98 Buhler Terrace,(179) 1415293,0,2022-09-08 16:39:32,Vestibulum sed magna at nunc commodo placerat.,0,94
95,Kristen,Scanlan,34998 Truax Alley,(958) 6173965,0,2023-03-22 04:02:55,Nunc purus. Phasellus in felis.,1,95
96,Nikolai,Lewsley,7925 Morning Street,(585) 5883555,0,2023-03-03 07:28:39,Ut at dolor quis odio consequat varius.,1,96
97,Obadiah,Siebart,69742 Stone Corner Pass,(745) 6859286,0,2023-02-26 07:19:36,Aenean lectus.,0,97
98,Tatum,Conew,05557 Holmberg Court,(213) 3296136,0,2023-03-23 09:27:01,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",0,98
99,Allison,Lob,00293 Northland Drive,(336) 7812831,0,2023-03-06 19:10:33,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,1,99
100,Raina,Rex,2926 Center Pass,(300) 3773739,0,2022-10-24 01:49:07,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",0,100
101,Paulina,Tanswell,0 Little Fleur Plaza,(433) 8162221,0,2023-01-06 13:52:53,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",0,101
102,Bartlett,Allman,44 Heath Court,(811) 9948190,0,2022-08-16 08:34:40,Integer non velit.,0,102
103,Vilma,Brendish,80 Union Pass,(932) 9830149,0,2023-06-27 10:03:47,Etiam pretium iaculis justo.,0,103
104,Gleda,Vegas,9 Oak Road,(450) 5813048,0,2023-05-24 15:41:53,Cras non velit nec nisi vulputate nonummy.,0,104
105,Teresina,Handrahan,36 Oneill Plaza,(844) 4967771,0,2023-02-09 09:49:11,Donec semper sapien a libero.,1,105
106,Nadean,Skeene,1 Atwood Point,(676) 4464421,0,2023-06-28 20:12:51,Proin at turpis a pede posuere nonummy. Integer non velit.,0,106
107,Elset,Lopes,58 Helena Hill,(468) 4701990,0,2023-04-09 04:49:59,Nullam molestie nibh in lectus.,0,107
108,Lizabeth,Reekie,5665 Waxwing Circle,(378) 7932800,0,2022-09-11 07:12:05,Duis aliquam convallis nunc.,1,108
109,Shaine,Brabon,26 Farmco Place,(456) 3826071,0,2022-07-31 06:57:46,Mauris lacinia sapien quis libero.,1,109
110,Mark,Feasby,511 Meadow Vale Court,(790) 6317641,0,2023-06-26 22:45:52,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,0,110
111,Ginelle,Withull,7456 Randy Junction,(956) 8788329,0,2023-03-20 12:05:42,Duis at velit eu est congue elementum.,1,111
112,Tanner,Buddell,63 Daystar Hill,(947) 3477305,0,2023-04-26 05:58:32,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.,0,112
113,Ardeen,Blakemore,174 Sycamore Court,(992) 7970267,0,2023-06-21 11:02:49,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",1,113
114,Waylin,Demongeot,4074 Erie Point,(450) 7737892,0,2023-03-14 10:48:36,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,0,114
115,Celinka,Wallworke,10825 Dennis Court,(127) 6505068,0,2023-04-22 20:42:48,Aliquam erat volutpat.,0,115
116,Emylee,Stallebrass,44 Emmet Crossing,(192) 4885557,0,2023-01-20 11:10:44,In hac habitasse platea dictumst. Etiam faucibus cursus urna.,1,116
117,Mable,Barbey,5 Dixon Parkway,(979) 2192905,0,2022-12-02 18:05:33,Integer ac neque.,1,117
118,Zorah,Catherine,905 Darwin Trail,(944) 2457392,0,2023-06-18 21:40:16,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,1,118
119,Marco,Toplin,91312 Spohn Parkway,(480) 6286875,0,2022-12-07 03:31:45,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",1,119
120,Rhianna,Maytum,1614 Maple Street,(323) 1524324,0,2022-11-27 07:11:54,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",1,120
121,Kaleena,Berzon,7 Melrose Crossing,(486) 5515403,0,2022-09-29 07:58:28,In hac habitasse platea dictumst.,0,121
122,Raine,Merryman,3 Carey Park,(762) 9558930,0,2023-06-26 01:30:44,Vestibulum sed magna at nunc commodo placerat.,0,122
123,Ronnie,Slane,6 Judy Place,(595) 5889549,0,2023-01-21 20:41:19,Donec dapibus. Duis at velit eu est congue elementum.,0,123
124,Prissie,Tayler,200 Towne Parkway,(969) 7932578,0,2022-09-01 21:22:34,Nunc rhoncus dui vel sem.,0,124
125,Tamma,Pilfold,87056 Spaight Trail,(727) 6776737,0,2023-04-26 10:03:04,In hac habitasse platea dictumst.,0,125
126,Valina,Roman,0 Ruskin Parkway,(693) 8381911,0,2022-07-28 07:14:03,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,1,126
127,Philippe,Rollason,34 4th Drive,(504) 1045169,0,2023-03-15 08:41:38,Integer a nibh. In quis justo.,1,127
128,Ron,Tidbold,2 Nelson Terrace,(844) 5292860,0,2022-09-03 07:34:10,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",0,128
129,Itch,Farlham,31 Reinke Plaza,(128) 1848741,0,2022-11-10 19:49:22,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",1,129
130,Koren,Branche,1415 Dapin Park,(941) 2284668,0,2022-08-06 06:47:37,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",1,130
131,Kaitlynn,Strickland,292 Village Green Trail,(805) 8356695,0,2023-03-25 00:50:34,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",0,131
132,Zack,Beane,0 Gulseth Circle,(313) 4413090,0,2022-11-12 07:41:13,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",0,132
133,Emmet,von Grollmann,03 East Terrace,(301) 7251941,0,2023-04-14 07:54:42,Duis bibendum.,1,133
134,Perl,Moberley,0626 Victoria Point,(491) 6142916,0,2023-03-02 11:26:22,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",0,134
135,Brigitta,Yuryaev,69897 Thackeray Junction,(539) 9010701,0,2023-07-06 06:45:44,Nunc rhoncus dui vel sem. Sed sagittis.,0,135
136,Vina,Bowfin,9 Starling Way,(433) 1750169,0,2023-06-18 11:39:23,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,0,136
137,Annissa,Brychan,75 Memorial Junction,(785) 7798861,0,2022-12-30 03:30:58,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,1,137
138,Carina,Leaf,556 Shelley Parkway,(645) 7786350,0,2022-07-12 04:38:17,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",0,138
139,Hedda,Freire,1 Bayside Parkway,(704) 4968855,0,2022-09-17 19:24:31,Maecenas pulvinar lobortis est.,0,139
140,Giulietta,Vane,34614 Hauk Drive,(977) 6334163,0,2022-07-13 01:30:29,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,0,140
141,Kanya,Melior,67819 3rd Road,(752) 7915368,0,2022-10-27 04:00:52,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,0,141
142,Alika,Tebbutt,9408 6th Road,(646) 8519979,0,2022-09-28 05:49:06,Nam nulla.,1,142
143,Tabb,Ramelet,26 Kinsman Pass,(526) 8742204,0,2022-12-29 11:48:07,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",1,143
144,Lynnet,Dominichelli,5 Cardinal Pass,(782) 1242557,0,2023-06-09 15:10:03,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",1,144
145,Elicia,Vallery,0 Fairview Park,(181) 9045868,0,2022-08-10 08:22:37,Etiam justo. Etiam pretium iaculis justo.,0,145
146,Rosalie,Barts,9 Eagle Crest Parkway,(423) 7374961,0,2023-06-12 02:53:19,Duis mattis egestas metus.,0,146
147,Emili,Wreiford,2630 Melvin Junction,(799) 4964158,0,2022-12-04 10:40:19,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",0,147
148,Prentice,Wickardt,6 Miller Hill,(440) 1916371,0,2023-03-04 18:10:50,Morbi ut odio.,1,148
149,Michaelina,Arno,24 Hooker Place,(378) 4028908,0,2023-01-08 15:16:17,Aenean lectus.,1,149
150,Rebecka,Lantaph,888 Lukken Pass,(942) 3444024,0,2022-09-17 19:07:19,Cras in purus eu magna vulputate luctus.,1,150
151,Hatti,Emsden,86 Mallory Pass,(207) 1001623,0,2022-10-02 05:37:19,Nulla nisl. Nunc nisl.,1,151
152,Leticia,Beagley,20496 Dapin Point,(762) 9694355,0,2023-06-28 15:24:04,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,0,152
153,Porter,Francey,5 Pawling Park,(410) 8978745,0,2022-07-26 14:56:49,Proin risus. Praesent lectus.,0,153
154,Pepillo,Pegram,10 Cherokee Alley,(602) 7777773,0,2022-12-01 15:03:52,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",1,154
155,Mahala,Heifer,228 Twin Pines Lane,(543) 6616703,0,2023-06-05 03:14:50,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,0,155
156,Constantina,Spoor,9 Welch Point,(501) 5513002,0,2023-02-10 09:18:32,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",1,156
157,Linnell,Duker,51271 Pawling Crossing,(465) 8243044,0,2022-12-02 23:52:40,Nunc purus.,1,157
158,Pammi,Hooks,462 Crescent Oaks Crossing,(912) 9169814,0,2023-04-19 12:31:22,Aliquam erat volutpat.,0,158
159,Jaquenetta,Lewton,8 Novick Place,(527) 2801626,0,2023-01-27 09:01:36,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",0,159
160,Francklyn,Dradey,919 Forster Crossing,(233) 3244958,0,2022-07-30 03:02:04,Nulla suscipit ligula in lacus.,1,160
161,Aaren,Henric,29 Packers Terrace,(701) 4437670,0,2022-09-19 06:34:58,Aliquam non mauris.,1,161
162,Tonya,Jagson,01 Moland Junction,(753) 6507531,0,2022-12-07 09:05:29,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",0,162
163,Phineas,Henzley,0609 Longview Point,(473) 1699493,0,2023-03-14 10:11:24,Nullam molestie nibh in lectus. Pellentesque at nulla.,0,163
164,Zechariah,Canepe,4 Arizona Terrace,(946) 3888655,0,2022-07-18 23:57:47,Sed vel enim sit amet nunc viverra dapibus.,1,164
165,Stefano,Duggon,90795 Fallview Way,(296) 1535505,0,2023-04-06 17:06:23,Aliquam non mauris.,0,165
166,Dori,Bock,274 Blaine Alley,(612) 8894901,0,2022-10-18 12:41:52,Suspendisse ornare consequat lectus.,1,166
167,Melessa,Karpol,10274 Walton Street,(715) 4227711,0,2023-05-28 07:16:41,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",0,167
168,Findlay,Trafford,105 Elka Parkway,(728) 4033598,0,2023-01-03 01:50:59,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",0,168
169,Brockie,Cowsby,35743 Rowland Trail,(795) 5303308,0,2022-11-15 15:59:40,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",0,169
170,Alfi,Fulkes,22 Reinke Way,(797) 7391113,0,2023-03-04 04:38:44,Pellentesque at nulla. Suspendisse potenti.,1,170
171,Thornton,Smail,388 Bayside Alley,(224) 7905589,0,2023-01-24 12:32:57,In eleifend quam a odio.,1,171
172,Doe,Swenson,26 Independence Center,(718) 1264931,0,2023-07-02 03:06:33,Phasellus id sapien in sapien iaculis congue.,1,172
173,Stinky,Preece,5 Novick Drive,(431) 8871509,0,2023-06-01 06:28:25,Aenean auctor gravida sem.,1,173
174,Elvira,Bertwistle,6 Susan Plaza,(113) 6822909,0,2023-01-07 09:56:41,Pellentesque at nulla.,0,174
175,Christopher,Pinkie,8916 Dwight Way,(692) 3582293,0,2023-05-19 11:57:13,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",1,175
